CAGR,Vol,Sharpe,MaxDD,Hit%,window,vt_target,exec_speed,no_trade_band,w_cap,AnnTurn
0.0969,0.1576,0.4879,-0.303,0.5231,84,0.12,0.33,0.001,0.3,0.8157
0.0973,0.1576,0.4908,-0.303,0.5231,84,0.12,0.33,0.002,0.1,0.6309
0.0969,0.1576,0.4883,-0.303,0.5231,84,0.12,0.33,0.002,0.2,0.7807
0.0969,0.1576,0.488,-0.303,0.5231,84,0.12,0.33,0.002,0.3,0.8151
0.0974,0.1576,0.4911,-0.303,0.5231,84,0.12,0.33,0.004,0.1,0.6275
0.097,0.1576,0.4885,-0.303,0.5231,84,0.12,0.33,0.004,0.2,0.7773
0.0969,0.1576,0.4882,-0.303,0.5231,84,0.12,0.33,0.004,0.3,0.8117
0.0971,0.1576,0.4894,-0.303,0.5231,84,0.12,0.5,0.001,0.1,0.711
0.0962,0.1576,0.4837,-0.303,0.5231,84,0.12,0.5,0.001,0.2,1.0866
0.096,0.1576,0.4824,-0.303,0.5231,84,0.12,0.5,0.001,0.3,1.1826
0.0971,0.1576,0.4895,-0.303,0.5231,84,0.12,0.5,0.002,0.1,0.71
0.0962,0.1576,0.4838,-0.303,0.5231,84,0.12,0.5,0.002,0.2,1.0856
0.096,0.1576,0.4825,-0.303,0.5231,84,0.12,0.5,0.002,0.3,1.1816
0.0972,0.1576,0.4898,-0.303,0.5231,84,0.12,0.5,0.004,0.1,0.7049
0.0963,0.1576,0.4841,-0.303,0.5231,84,0.12,0.5,0.004,0.2,1.0805
0.0961,0.1576,0.4828,-0.303,0.5231,84,0.12,0.5,0.004,0.3,1.1765
0.1051,0.1551,0.5482,-0.303,0.5131,126,0.08,0.25,0.001,0.1,0.5242
0.1048,0.1551,0.5467,-0.303,0.5131,126,0.08,0.25,0.001,0.2,0.5964
0.1048,0.1551,0.5466,-0.303,0.5131,126,0.08,0.25,0.001,0.3,0.6104
0.1051,0.1551,0.5482,-0.303,0.5131,126,0.08,0.25,0.002,0.1,0.5242
0.1048,0.1551,0.5467,-0.303,0.5131,126,0.08,0.25,0.002,0.2,0.5964
0.1048,0.1551,0.5466,-0.303,0.5131,126,0.08,0.25,0.002,0.3,0.6104
0.1051,0.1551,0.5484,-0.303,0.5131,126,0.08,0.25,0.004,0.1,0.5212
0.1049,0.1551,0.5469,-0.303,0.5131,126,0.08,0.25,0.004,0.2,0.5935
0.1048,0.1551,0.5468,-0.303,0.5131,126,0.08,0.25,0.004,0.3,0.6075
0.1049,0.1551,0.5471,-0.303,0.5131,126,0.08,0.33,0.001,0.1,0.5904
0.1043,0.1551,0.5435,-0.303,0.5131,126,0.08,0.33,0.001,0.2,0.7783
0.1043,0.1551,0.5433,-0.303,0.5131,126,0.08,0.33,0.001,0.3,0.7923
0.1049,0.1551,0.5471,-0.303,0.5131,126,0.08,0.33,0.002,0.1,0.5904
0.1043,0.1551,0.5435,-0.303,0.5131,126,0.08,0.33,0.002,0.2,0.7783
0.1043,0.1551,0.5433,-0.303,0.5131,126,0.08,0.33,0.002,0.3,0.7923
0.1049,0.1551,0.5473,-0.303,0.5131,126,0.08,0.33,0.004,0.1,0.5865
0.1044,0.1551,0.5437,-0.303,0.5131,126,0.08,0.33,0.004,0.2,0.7744
0.1043,0.1551,0.5435,-0.303,0.5131,126,0.08,0.33,0.004,0.3,0.7884
0.1047,0.1551,0.5457,-0.303,0.5131,126,0.08,0.5,0.001,0.1,0.6836
0.1037,0.1552,0.5394,-0.303,0.5131,126,0.08,0.5,0.001,0.2,1.0483
0.1034,0.1552,0.5374,-0.303,0.5131,126,0.08,0.5,0.001,0.3,1.1788
0.1047,0.1551,0.5457,-0.303,0.5131,126,0.08,0.5,0.002,0.1,0.6836
0.1037,0.1552,0.5394,-0.303,0.5131,126,0.08,0.5,0.002,0.2,1.0483
0.1034,0.1552,0.5374,-0.303,0.5131,126,0.08,0.5,0.002,0.3,1.1788
0.1047,0.1551,0.546,-0.303,0.5131,126,0.08,0.5,0.004,0.1,0.6777
0.1037,0.1552,0.5397,-0.303,0.5131,126,0.08,0.5,0.004,0.2,1.0424
0.1034,0.1552,0.5377,-0.303,0.5131,126,0.08,0.5,0.004,0.3,1.1729
